"","cust_id","cust_profit_percent","promo_sensitivity"
"1",29568,0.631554180160364,0.605146669150249
"2",29909,0.596623959224913,0.673689897990482
"3",39856,0.720958305682221,0.683879936525173
"4",109693,0.533910561537167,0.539354131065017
"5",289996,0.71626066143747,0.571050455211739
"6",299749,0.695311296076435,0.384582670201584
"7",329968,0.634156642184329,0.725436170120652
"8",339627,0.577249279200598,0.706801390579209
"9",550000,0.555562284220973,0.589324797388084
"10",559804,0.604406109524885,0.704620218548767
"11",609881,0.77453990634848,0.296067140559599
"12",709543,0.564145644280591,0.632842235584434
"13",749556,0.525067860326839,0.879893010696368
"14",749639,0.580797733684823,0.550390306060689
"15",769883,0.69471157758229,0.56670181131867
"16",799924,0.601061659526281,0.58293649449024
"17",869947,0.631865627637609,0.549772790351623
"18",989587,0.666925003033372,0.576192744818438
"19",1049570,0.524679574218269,0.609862830344714
"20",1139738,0.651592440114952,0.578480543811124
"21",1179795,0.644025300547875,0.577589518078443
"22",1279966,0.514057071203433,0.535579623520451
"23",1329967,0.744244626351335,0.330851478659787
"24",1369576,0.584073922219569,0.525739205524421
"25",1459955,0.574117486260356,0.777154462518267
"26",1539803,0.673103432578356,0.690821459050363
"27",1589813,0.595601402350896,0.606617044290315
"28",1659549,0.632230323308372,0.416143362414294
"29",1849794,0.658704956590215,0.533984392387223
"30",1889991,0.555646720669079,0.588101358042332
"31",1979644,0.675281838203133,0.622638962161236
"32",1999671,0.614079890977644,0.436756741968215
"33",2009974,0.600031336125876,0.592507894994849
"34",2029760,0.67565922248722,0.732488241791253
"35",2039621,0.637494585247311,0.655226811347759
"36",2049977,0.526611268639217,0.609633406467479
"37",2089806,0.569751469929906,0.820473279847743
"38",2109544,0.653532687303215,0.637041070955347
"39",2169803,0.582338797214986,0.63830951615988
"40",2209804,0.567470423829809,0.510865446221218
"41",2269534,0.658397589779915,0.669064559015062
"42",2389981,0.67269094944702,0.518599558231501
"43",2469932,0.636738800376324,0.463432445576001
"44",2499933,0.679642573038345,0.526136860714314
"45",2569933,0.588125715897564,0.671985497627916
"46",2589576,0.558359807737814,0.6521372339975
"47",2629968,0.591433728160395,0.574474123457251
"48",2679893,0.576808433685593,0.598875157899259
"49",2719577,0.649635657506243,0.660094999002768
"50",2809801,0.542904878005787,0.49370543592002
"51",2899928,0.732878835319952,0.367143021697461
"52",2909908,0.642957662688802,0.718764807789963
"53",2969695,0.658020176553197,0.399640672075422
"54",3029520,0.759090058274618,0.650648183231962
"55",3189829,0.66486068358242,0.63208462502622
"56",3239920,0.581223914059291,0.543936454855435
"57",3239931,0.637552662321224,0.574022166005782
"58",3269902,0.619189942685123,0.624321221983942
"59",3299585,0.669620478994932,0.546253880379375
"60",3409832,0.639977802122013,0.762922483656071
"61",3489829,0.593528973134848,0.550763104583225
"62",3509691,0.606117196226698,0.534279849120555
"63",3509800,0.646431800874537,0.715477406075878
"64",3549558,0.573497679373544,0.528366359598744
"65",3689815,0.648795599316887,0.60716494697476
"66",3689897,0.637443857681044,0.650410819423535
"67",3759797,0.789685249010533,0.622866680483332
"68",3779918,0.570906592750287,0.576987147258501
"69",3809808,0.744539169445396,0.47924772632581
"70",3979821,0.617976284738771,0.582744604123995
"71",4139823,0.623403126211987,0.728359265715051
"72",4139886,0.686249382811953,0.691611139416492
"73",4149898,0.588911090981146,0.651606630650285
"74",4219822,0.63210485940463,0.597348636166608
"75",4289603,0.607015888812623,0.466726982842712
"76",4319967,0.649195666234789,0.425981483484388
"77",4369949,0.616398906015821,0.28283885101535
"78",4459951,0.596587291588508,0.701677332852288
"79",4559994,0.687611184632827,0.34573399150927
"80",4579768,0.694272024352325,0.559963998175629
"81",4589623,0.561889146924165,0.490850677597132
"82",4689635,0.491767983101322,0.507061686304426
"83",4729534,0.653870830352097,0.598690428446111
"84",4759939,0.590713140947027,0.705738333713855
"85",4779672,0.610322947643461,0.48560403282832
"86",4809965,0.607608122839,0.428160860374316
"87",4899809,0.629099430599355,0.65549415877976
"88",5019544,0.666337586895591,0.705177441688087
"89",5039834,0.509464148533536,0.553003268488405
"90",5039894,0.627897571767364,0.667511759918744
"91",5059954,0.506131110367107,0.644785070093848
"92",5069807,0.636274519192955,0.679133749753157
"93",5089853,0.530596422414318,0.518205138851255
"94",5209899,0.608966344791979,0.525307573041159
"95",5369881,0.692634385143968,0.426104748330652
"96",5429986,0.598117814018195,0.490084229202364
"97",5669543,0.688192317261008,0.40163009670195
"98",5749887,0.627343983574634,0.684717856611909
"99",5929637,0.626188518717206,0.528194354869133
"100",6019835,0.533449740561949,0.585870551460181
"101",6139888,0.598006132013959,0.716395044543865
"102",6149849,0.655468511194355,0.530327631376362
"103",6149942,0.580078414615756,0.735060727918999
"104",6209836,0.664580347951515,0.418668431406001
"105",6389560,0.564706735837934,0.445588107784527
"106",6409834,0.458413711651717,0.270587737281849
"107",6509998,0.596859140135541,0.651098940047455
"108",6529522,0.559261416008882,0.387300821585454
"109",6599812,0.537665545489384,0.585922439395874
"110",6599998,0.65949793894729,0.484392564113059
"111",6629718,0.702949059212308,0.412344687205649
"112",6739641,0.52936416578419,0.335061902171732
"113",6759673,0.554841399107695,0.665886322957545
"114",6799994,0.66530370113946,0.396862349754236
"115",6909998,0.661810514690728,0.5209447129361
"116",7029899,0.552879239030181,0.637463698902761
"117",7089970,0.631830390684799,0.499227833635703
"118",7109918,0.592785811997307,0.564494704726128
"119",7119528,0.57482912113309,0.667026162561341
"120",7129671,0.528781648966661,0.362118788614048
"121",7189760,0.626699456009116,0.654733992796424
"122",7249820,0.70715581510436,0.508095628822233
"123",7299831,0.689226337302871,0.557549021712439
"124",7319748,0.629260155436312,0.482183272325839
"125",7399797,0.589021914445441,0.464746034111772
"126",7489632,0.673588781878179,0.635504787473193
"127",7500000,0.601247714842346,0.65475410827498
"128",7519976,0.563763994513034,0.66287963594928
"129",7529982,0.603088459286422,0.72911018853869
"130",7569890,0.603228214217003,0.512486331420697
"131",7589968,0.72382154586673,0.461131010105178
"132",7609764,0.556560537110787,0.541598692967776
"133",7619949,0.563971083419891,0.514999549023234
"134",7629630,0.718447733064438,0.511526092151125
"135",7639542,0.527952995290228,0.293024243793264
"136",7669833,0.645165623203663,0.539620977398004
"137",7679874,0.631237292666005,0.344743338370791
"138",7739787,0.542864934141007,0.622744192078882
